Label, Value
GBP-DSCON-OIS, GBP
GBP-OIS-3M, -9.203734046986341
GBP-OIS-6M, -9.203734046994496
GBP-OIS-1Y, -9.203734041641416
GBP-OIS-2Y, -72.44941273237508
GBP-OIS-3Y, -125.32662774017736
GBP-OIS-5Y, -484.6801640598811
GBP-OIS-10Y, 2087.2413764520575
GBP-OIS-15Y, -311.81730207217754
GBP-OIS-20Y, 170.53280455847548
GBP-OIS-30Y, -42.85110223349279
GBP-LIBOR6M-IRS, GBP
GBP-FIX-L6M, -453.7310742901264
GBP-IRS6M-1Y, 361.20542679535646
GBP-IRS6M-2Y, -1912.6713164183755
GBP-IRS6M-3Y, 4307.769354190115
GBP-IRS6M-5Y, -5949.67510868935
GBP-IRS6M-10Y, -5000.922542624785
GBP-IRS6M-15Y, -3.2858736154057873
GBP-IRS6M-20Y, 1.8488402078377957
GBP-IRS6M-30Y, -0.20952824353656474
