Label, Value
GBP-DSCON-OIS, GBP
GBP-OIS-3M, -8.782295510559111
GBP-OIS-6M, -8.78229551108928
GBP-OIS-1Y, -8.782295505413856
GBP-OIS-2Y, -78.50890993916316
GBP-OIS-3Y, -85.55115651426725
GBP-OIS-5Y, -563.738137205532
GBP-OIS-10Y, 2176.9867476458944
GBP-OIS-15Y, -374.71994416962787
GBP-OIS-20Y, 218.67211969889968
GBP-OIS-30Y, -62.68363832451394
GBP-LIBOR6M-IRS, GBP
GBP-FIX-L6M, 1191.6001947019793
GBP-IRS6M-1Y, 4725.371406563991
GBP-IRS6M-2Y, -9235.04641922061
GBP-IRS6M-3Y, 10602.982356250617
GBP-IRS6M-5Y, -7400.855561571956
GBP-IRS6M-10Y, -5724.799709137244
GBP-IRS6M-15Y, 545.6661526320304
GBP-IRS6M-20Y, -64.84191488998411
GBP-IRS6M-30Y, 1.1101059195221237
